photo_id,self_openness,self_conscientiousness,self_extraversion,self_agreeableness,self_neuroticism,age,gender
P001,10,2,4,3,4,14,female
P002,3,10,5,10,4,6,male
P003,8,9,6,2,4,6,male
P004,1,2,8,8,8,8,female
P005,7,9,10,3,1,10,female
P006,5,5,9,6,1,9,female
P007,3,4,4,4,9,7,male
P008,7,1,6,3,4,6,female
P009,2,9,1,10,4,11,male
P010,6,9,9,6,9,10,male
P011,9,4,6,7,1,6,female
P012,2,1,1,9,7,12,female
P013,6,3,1,6,10,15,male
P014,10,9,8,7,5,11,male
P015,2,9,6,8,2,6,male
P016,3,4,2,9,2,7,female
P017,1,7,8,5,9,14,female
P018,6,8,8,6,4,11,female
P019,8,6,9,9,10,8,male
P020,10,5,2,4,5,9,female
P021,5,1,7,5,5,6,female
P022,4,6,6,10,5,6,male
P023,10,4,4,8,2,11,female
P024,2,1,1,9,8,9,male
P025,8,5,6,10,7,9,male
P026,5,5,2,5,7,13,female
P027,8,9,4,4,9,9,male
P028,2,9,4,7,10,15,female
P029,3,3,3,2,8,13,female
P030,10,1,10,2,9,7,female
P031,7,4,8,5,7,10,female
P032,9,8,3,2,1,7,female
P033,7,7,9,3,7,11,male
P034,2,8,10,9,7,11,female
P035,9,7,5,9,7,8,male
P036,5,2,10,4,1,10,male
P037,1,2,7,4,1,11,female
P038,10,10,5,7,6,13,female
P039,5,3,1,1,7,13,male
P040,8,3,9,10,4,8,male
P041,8,2,6,6,1,14,female
P042,7,8,10,9,1,12,female
P043,10,5,2,6,7,9,male
P044,6,6,10,3,2,11,male
P045,8,3,1,3,8,14,male
P046,9,4,1,10,2,11,male
P047,4,1,10,9,3,7,female
P048,10,3,1,5,8,10,male
P049,3,1,1,4,1,12,male
P050,3,7,3,5,3,7,male
P051,9,8,10,6,8,12,female
P052,9,6,1,2,2,11,female
P053,9,2,5,4,10,10,female
P054,7,7,4,8,7,6,male
P055,10,8,6,2,10,9,female
P056,9,7,1,9,1,10,female
P057,4,10,9,2,7,11,female
P058,7,2,7,9,8,6,female
P059,10,1,3,6,7,9,male
P060,6,7,10,8,3,13,male
P061,4,4,9,3,3,12,female
P062,8,3,1,10,10,13,male
P063,8,6,9,8,10,12,female
P064,3,8,9,8,5,11,male
P065,10,8,4,10,8,12,male
P066,9,10,6,8,9,14,female
P067,7,9,7,7,5,8,female
P068,5,10,9,1,8,11,male
P069,8,2,1,2,7,16,male
P070,9,2,6,2,1,9,female
P071,5,8,1,7,2,12,female
P072,10,2,4,8,10,8,female
P073,2,10,7,1,7,10,female
P074,5,1,3,2,2,14,male
P075,4,4,7,10,6,7,male
P076,4,2,2,4,1,8,male
P077,8,1,9,1,5,7,female
P078,10,8,9,6,10,7,male
P079,2,4,1,5,7,15,female
P080,4,6,1,3,1,10,male
P081,9,8,7,4,9,12,male
P082,9,9,3,9,8,9,female
P083,5,2,5,6,5,11,female
P084,10,1,5,3,8,11,female
P085,3,5,9,10,2,9,female
P086,4,8,9,1,1,7,male
P087,6,4,1,5,8,13,male
P088,7,1,1,7,5,10,male
P089,7,8,3,4,8,13,female
P090,5,7,9,2,5,9,male
P091,8,5,3,3,9,13,female
P092,5,1,9,8,2,16,female
P093,7,3,9,2,3,6,male
P094,7,4,4,4,5,12,male
P095,9,10,5,2,5,7,female
P096,6,9,4,10,6,11,female
P097,2,9,8,7,4,12,female
P098,10,4,9,10,8,14,male
P099,10,9,3,1,9,13,female
P100,8,10,8,2,8,11,male
P101,7,1,8,4,7,8,male
P102,4,4,7,7,3,12,male
P103,6,2,4,8,9,6,male
P104,7,6,8,1,10,11,male
P105,5,7,6,3,2,13,female
P106,3,10,1,5,10,16,male
P107,9,1,4,5,3,13,female
P108,10,6,10,7,3,13,male
P109,4,7,2,8,2,13,male
P110,8,7,10,5,9,9,female
P111,10,4,2,3,3,14,male
P112,6,8,5,3,3,8,male
P113,6,2,8,3,2,12,female
P114,2,7,1,8,3,10,male
P115,2,5,1,4,8,12,male
P116,3,5,9,4,5,9,female
P117,10,10,5,4,8,7,male
P118,3,6,3,9,3,9,male
P119,1,8,7,7,3,9,male
P120,7,8,8,1,3,8,male
P121,3,6,3,9,4,6,female
P122,6,3,4,9,9,9,male
P123,6,4,3,1,1,14,female
P124,5,4,10,6,5,12,female
P125,8,9,7,5,6,17,female
P126,6,10,5,1,7,7,female
P127,3,4,8,2,2,12,male
P128,7,9,5,1,1,14,female
P129,8,10,8,10,10,14,male
P130,4,2,5,4,5,9,female
P131,5,3,1,6,6,13,female
P132,4,5,6,6,6,14,male
P133,6,3,6,1,1,9,male
P134,9,9,7,3,7,12,male
P135,7,2,2,9,1,8,male
P136,8,6,3,5,6,14,female
P137,2,1,6,9,7,11,female
P138,5,7,9,7,9,11,female
P139,9,8,4,10,7,12,male
P140,7,10,7,5,10,11,male
P141,2,5,7,3,1,11,female
P142,7,3,9,10,8,7,female
P143,6,4,10,5,5,8,female
P144,8,5,7,1,9,17,female
P145,6,2,10,1,6,8,female
P146,4,5,9,1,8,6,female
P147,6,5,7,8,2,8,male
P148,9,3,3,2,6,13,male
P149,5,3,8,4,10,11,female
P150,7,5,9,1,10,6,male
P151,7,2,6,8,8,14,female
P152,5,10,9,7,2,6,male
P153,4,1,6,6,8,7,female
P154,3,6,6,7,5,9,male
P155,1,1,7,7,9,8,male
P156,4,10,2,7,1,17,male
P157,8,6,5,9,2,12,male
P158,7,9,7,3,1,13,female
P159,10,8,5,7,4,12,male
P160,3,1,5,2,3,11,male
P161,5,2,7,3,1,12,male
P162,4,3,9,6,6,6,female
P163,5,2,8,5,3,13,male
P164,9,7,2,8,1,14,male
P165,2,7,5,5,2,9,male
P166,1,5,4,1,2,7,female
P167,5,1,5,3,3,9,female
P168,4,6,6,7,10,7,female
P169,3,2,3,2,1,6,female
P170,3,7,7,7,8,10,female
P171,2,4,9,2,3,13,male
P172,4,10,9,9,5,12,male
P173,4,10,8,4,9,12,male
P174,1,7,4,5,7,13,female
P175,9,6,3,2,9,10,female
P176,7,4,8,10,2,16,female
P177,8,7,4,2,2,13,female
P178,7,6,8,4,1,11,male
P179,7,2,3,8,7,6,female
P180,8,6,7,4,7,6,female
P181,4,2,5,1,1,6,female
P182,2,4,2,4,9,6,male
P183,10,3,7,2,10,7,male
P184,7,5,7,3,10,13,male
P185,4,9,8,4,7,14,male
P186,1,4,4,10,5,7,female
P187,8,5,7,4,6,12,female
P188,4,3,8,6,2,11,female
P189,9,5,10,10,3,13,male
P190,2,10,9,6,8,12,male
P191,3,5,10,5,8,13,male
P192,8,10,1,7,7,8,female
P193,7,4,7,10,7,7,female
P194,8,10,10,8,8,14,male
P195,4,10,5,5,1,14,male
P196,9,9,10,8,10,16,male
P197,2,7,7,9,7,8,female
P198,7,2,9,3,2,8,male
P199,5,2,4,9,9,11,female
P200,7,3,8,2,10,14,male
P201,1,2,2,9,5,8,male
P202,1,6,6,2,2,6,female
P203,7,6,4,7,4,11,male
P204,5,8,5,9,3,8,male
P205,6,8,2,2,3,9,female
P206,7,9,8,4,8,9,male
P207,4,4,5,9,6,6,male
P208,10,6,7,7,5,10,male
P209,10,6,1,1,1,6,female
P210,4,1,4,6,8,16,male
P211,8,5,8,5,8,9,female
P212,3,3,9,10,9,10,male
P213,2,3,8,9,10,11,female
P214,9,8,5,10,1,9,female
P215,2,10,3,6,2,9,female
P216,9,6,6,10,1,7,female
P217,5,5,6,4,9,8,female
P218,4,10,4,9,6,9,female
P219,2,2,2,8,9,13,male
P220,4,10,5,8,4,7,male
P221,5,2,3,10,1,8,male
P222,5,7,8,4,5,12,female
P223,9,3,3,2,10,8,male
P224,10,2,4,9,2,14,male
P225,8,5,10,5,1,10,female
P226,9,1,2,2,3,7,female
P227,7,7,10,3,8,12,male
P228,1,1,6,6,2,14,female
P229,6,3,3,4,8,7,female
P230,1,3,6,9,3,15,female
P231,10,6,2,3,1,14,female
P232,5,5,1,4,7,9,male
P233,8,10,1,2,7,12,male
P234,4,6,10,8,5,13,female
P235,5,8,2,3,7,11,male
P236,3,5,2,6,2,8,female
P237,4,6,9,5,7,8,female
P238,1,10,6,10,5,6,male
P239,1,2,1,10,3,11,male
P240,2,10,5,1,9,11,female
P241,8,7,1,3,10,14,female
P242,4,5,7,4,4,10,male
P243,5,10,2,8,2,11,male
P244,8,1,10,7,3,9,female
P245,8,6,10,2,1,7,male
P246,9,9,3,4,9,10,female
P247,10,8,10,6,5,10,female
P248,7,5,7,10,4,12,male
P249,1,3,6,8,4,10,female
P250,2,5,7,6,6,14,male
